STATE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
MD,280,4.5,2.75,0.64,30.76,63970,1.1,24.85,26.45,29.19,35.7,37.06,51690,55010,60720,74260,77080
MD,830,3.2,4.93,1.16,33.33,69330,0.8,23.78,25.39,32.88,39.62,44.03,49460,52820,68400,82410,91580
ME,190,7.9,2.94,0.69,30.48,63390,1.2,23.75,27.26,31.08,32.45,37.05,49400,56710,64650,67500,77060
ME,140,7.7,2.87,0.67,30.25,62920,0.8,25.62,26.14,29.52,33.12,40.73,53300,54380,61390,68880,84710
ME,520,5,2.51,0.59,32.37,67330,0.9,27.17,31.07,32.14,34.69,37.04,56500,64630,66860,72160,77040
MI,450,4.9,2.09,0.49,35.69,74240,1.2,28.9,32.36,36.3,39.47,45.37,60110,67300,75500,82090,94360
MI,270,3.4,5.07,1.19,31.75,66040,0.6,22.97,28.35,31.99,35.79,37.77,47770,58960,66530,74440,78560
MI,180,8.7,5.47,1.28,33.03,68710,1.1,25.98,28.17,33.7,37.77,41.2,54030,58600,70090,78560,85690
MI,7480,2,3.94,0.92,34.26,71250,0.5,24.2,30.01,35.87,39.48,41.47,50340,62420,74610,82120,86250
MI,580,8.7,4.36,1.03,30.7,63860,0.9,22.14,26.55,29.47,34.41,39.32,46040,55220,61290,71570,81790
MI,1360,4.1,2.53,0.59,35.23,73270,0.8,20.81,32.45,36.78,41.21,41.68,43280,67500,76490,85720,86700
MI,220,11.4,3.95,0.93,33.29,69240,2.3,22.76,29.1,33.82,37.53,38.65,47340,60520,70350,78070,80390
MI,390,4.5,2.78,0.65,32.45,67490,1,23.37,27.38,33.54,36.64,39.75,48610,56950,69770,76220,82680
MI,850,3.3,4.03,0.95,33.15,68940,0.5,20.8,28.5,34.3,39.62,45.6,43250,59280,71340,82410,94850
MI,90,3.5,2.56,0.6,32.91,68460,0.9,23.43,29,36.94,36.94,38.96,48730,60330,76820,76820,81030
MI,190,5.8,5.07,1.19,31.24,64980,1.5,20.8,26.13,33.99,35.26,39.46,43270,54360,70710,73330,82070
MI,270,5.2,4.46,1.05,31.4,65300,0.8,22.61,29.45,34.23,35.57,35.57,47020,61260,71190,73980,73980
MI,310,10.7,5.32,1.25,29.39,61140,3.3,15.7,22.81,30.25,35.55,37.77,32650,47450,62920,73940,78560
MI,200,6.6,2.57,0.6,29.05,60420,1.4,21.87,24.56,29.27,33.37,35.67,45500,51070,60880,69410,74200
MN,570,8.9,4.6,1.08,36.4,75700,1,25.73,30.34,36.3,43.29,48,53510,63110,75500,90030,99830
MN,180,2.6,3.27,0.77,38.95,81020,1.1,26.52,32.97,39.13,43.56,51.51,55160,68570,81390,90610,107130
MN,5810,3.4,3.04,0.71,42.38,88160,0.6,30.14,38.15,43.75,48.84,51.6,62680,79350,91000,101590,107320
MN,420,4,3.5,0.82,37.12,77210,1.2,28.03,32.14,37.29,42.12,46.86,58290,66860,77570,87620,97480
MN,310,7.3,3.01,0.71,35.94,74740,1.3,25.7,29.44,36.35,43.43,45.58,53460,61240,75600,90340,94810
MO,130,7.8,3.01,0.71,24.02,49960,5,19.5,20.23,23.12,26.24,35.08,40550,42080,48090,54570,72960
MO,260,8.1,2.67,0.63,27.59,57390,1.1,20.64,25.07,25.26,31.03,37.4,42940,52150,52540,64550,77790
MO,480,3.8,6.39,1.5,28.21,58670,0.8,21.62,23.68,26.07,33.15,38.55,44970,49260,54220,68950,80180
MO,230,7.2,2.85,0.67,23.47,48820,2.4,16.75,20.22,21.56,26.6,35.02,34840,42050,44840,55320,72840
MO,4680,1.9,4.34,1.02,32.05,66670,0.6,23.3,25.36,29.19,40.03,43.85,48460,52750,60710,83260,91210
MO,230,4.8,4.36,1.02,26.32,54740,1.3,20.25,22.24,24.86,29.85,35.37,42130,46270,51700,62090,73580
MO,6000,3.4,4.53,1.06,32.14,66840,0.8,22.5,25.64,32.04,38.56,41.27,46800,53330,66650,80210,85850
MO,920,3.1,4.22,0.99,27.51,57220,1.3,19.24,22.58,25.28,31.25,38.55,40020,46960,52580,64990,80180
MS,1050,7.6,6.94,1.63,21.5,44720,0.7,15.21,18.93,22.8,23.94,25.44,31640,39370,47420,49800,52920
MS,420,5.3,6.76,1.59,19.98,41550,1.6,13.84,17.29,19.75,22.21,24.9,28790,35970,41080,46190,51780
MS,1370,3.9,5.43,1.28,20.42,42480,1,14.84,17.87,19.09,23.18,26.85,30870,37170,39710,48210,55850
MT,260,1.6,2.93,0.69,33.75,70200,0.6,29.72,30.98,31.35,36.59,39.96,61810,64430,65210,76110,83120
MT,130,2.2,3.63,0.85,35.22,73250,0.7,26.05,29.17,34.84,39.99,39.99,54170,60680,72470,83180,83180
MT,160,2.9,2.46,0.58,36.1,75080,0.8,30.41,31.84,34.51,38.07,41.36,63240,66230,71780,79190,86020
NC,810,2.8,4.02,0.94,25.63,53300,0.8,19.41,22.97,24.63,27.66,34.73,40370,47770,51230,57530,72240
NC,320,2,4.91,1.15,27.96,58150,0.6,20.86,23.66,28.89,29.05,36.79,43390,49200,60100,60420,76510
NC,5530,1.3,4.21,0.99,30.26,62940,0.4,22.04,24.33,29.17,36.56,40.4,45850,50600,60680,76050,84030
NC,1150,1.6,3.41,0.8,27.86,57950,0.6,19.79,23.8,25.7,31.8,37.09,41150,49510,53450,66150,77150
NC,820,0.8,6.28,1.48,26.15,54400,0.6,20.68,21.74,24.04,31.44,31.44,43020,45220,50000,65390,65390
NC,210,3.3,5.13,1.21,22.66,47130,0.6,19.12,20.51,21.06,25.01,28.05,39770,42650,43810,52020,58340
